"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2013","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","173.2",""
"2013","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,601.6",""
"2013","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,460.7",""
"2013","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","678.8",""
"2013","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","25,519.8",""
"2014","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,543.5",""
"2014","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","2,981.4",""
"2014","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,974.3",""
"2014","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,714.1",""
"2014","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","39,871.3",""
"2014","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","624.8",""
"2014","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,913.9",""
"2014","Greece","Total - all NACE activities","Employed persons","Total","Thousand","3,536.2",""
"2014","Spain","Total - all NACE activities","Employed persons","Total","Thousand","17,344.2",""
"2014","France","Total - all NACE activities","Employed persons","Total","Thousand","26,396.4","b"
"2014","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,565.7",""
"2014","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,278.9",""
"2014","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","362.7",""
"2014","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","884.6",""
"2014","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,319.0",""
"2014","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","245.6",""
"2014","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","4,100.8",""
"2014","Malta","Total - all NACE activities","Employed persons","Total","Thousand","181.7",""
"2014","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,236.1",""
"2014","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,112.7",""
"2014","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,861.5",""
"2014","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,499.5",""
"2014","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,613.7",""
"2014","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","916.7",""
"2014","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,363.1",""
"2014","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,447.2",""
"2014","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,772.1",""
